date,total_pos,total_neg,total_neu,number_pos,number_neg,number_neu,retweet_count
20200606,630.7319999999987,634.2680000000004,7476.985999999983,2391,2069,7900,8742
20200607,524.8910000000006,635.4679999999997,6716.754999999993,1647,2368,7103,7877
20200608,1033.6600000000012,892.2380000000011,11523.403999999982,5024,3923,12551,13449
20200609,739.0789999999997,681.2200000000006,7468.244999999975,2733,2223,8047,8888
20200610,692.8049999999998,1644.9379999999994,15975.408000000025,2149,10112,17393,18313
20200611,1219.8079999999973,1564.1839999999959,15509.765000000005,5855,8451,17236,18297
20200612,2036.2260000000003,624.0659999999997,25315.539000000026,14893,1976,27039,27976
20200613,502.7009999999996,723.1360000000001,7523.120999999994,1533,2947,7993,8749
20200614,11406.359999999993,407.00900000000064,19958.66400000001,25698,1220,31101,31772
20200615,732.4660000000014,1753.1779999999992,15019.470000000023,2526,9574,16585,17505
20200616,871.1220000000008,1569.4659999999972,12804.47599999998,3131,6148,14195,15245
20200617,1454.2660000000008,3282.126999999989,18374.565,5781,13762,22030,23111
20200618,1076.1449999999995,1126.801000000002,12834.948000000004,4230,4362,13997,15038
20200619,744.3460000000008,722.1720000000021,8028.604999999987,2478,2079,8503,9495
20200620,645.4849999999992,525.164,7700.280999999984,2202,1453,7990,8871
20200621,0.377,0.081,4.542,0,0,4,5
